player_id,total_appearances,total_goals,total_assists,total_minutes,total_yellow_cards,total_red_cards,goals_per_90,assists_per_90
46717,215,7,4,17853,66,1,0.035,0.02
46728,51,0,0,2942,6,1,0.0,0.0
46741,329,23,13,27908,66,4,0.074,0.042
46791,68,7,1,2453,2,0,0.257,0.037
46809,10,0,3,456,1,0,0.0,0.592
46810,132,20,18,9277,22,0,0.194,0.175
46831,64,13,6,3565,7,0,0.328,0.151
46845,37,8,1,2007,8,0,0.359,0.045
46894,140,13,4,12143,14,0,0.096,0.03
46897,21,2,0,562,1,0,0.32,0.0
46904,7,0,0,345,2,0,0.0,0.0
46955,12,0,0,1029,3,0,0.0,0.0
46971,8,0,1,499,0,0,0.0,0.18
46972,286,96,30,20191,21,0,0.428,0.134
46991,33,0,0,2970,5,0,0.0,0.0
47004,60,0,0,5370,5,0,0.0,0.0
47005,31,2,2,1398,1,0,0.129,0.129
47011,130,46,13,9685,9,0,0.427,0.121
47024,77,0,2,6831,6,0,0.0,0.026
47048,32,6,1,2032,6,0,0.266,0.044
47065,118,27,12,6648,6,2,0.366,0.162
47074,43,8,4,2540,8,0,0.283,0.142
47082,181,64,31,9546,8,0,0.603,0.292
47085,235,2,6,18376,50,2,0.01,0.029
47152,98,14,6,4558,15,1,0.276,0.118
47165,19,1,1,1327,10,0,0.068,0.068
47172,75,6,7,5945,12,0,0.091,0.106
47184,159,14,19,9708,29,0,0.13,0.176
47199,10,0,1,298,0,0,0.0,0.302
47217,155,3,7,11224,36,1,0.024,0.056
47285,217,17,38,11769,14,1,0.13,0.291
47299,4,1,0,42,0,0,2.143,0.0
47310,21,0,1,1427,6,0,0.0,0.063
47344,79,1,1,5731,18,2,0.016,0.016
47375,25,2,2,897,2,0,0.201,0.201
47389,16,0,0,1440,3,0,0.0,0.0
47426,10,0,1,641,1,0,0.0,0.14
47431,6,0,0,502,1,0,0.0,0.0
47435,171,10,0,13223,71,1,0.068,0.0
47459,22,1,0,1776,6,0,0.051,0.0
47513,141,2,5,8847,34,0,0.02,0.051
47517,48,0,0,3645,9,0,0.0,0.0
47533,24,3,3,1543,0,0,0.175,0.175
47543,159,39,14,7987,11,0,0.439,0.158
47544,78,1,5,6079,22,1,0.015,0.074
47571,11,0,0,560,1,0,0.0,0.0
47576,29,0,1,2349,6,0,0.0,0.038
47587,242,3,5,17483,37,0,0.015,0.026
47592,30,0,2,2385,5,0,0.0,0.075
47604,92,16,17,4706,12,1,0.306,0.325
47609,1,0,0,90,0,0,0.0,0.0
47637,77,17,2,5457,20,0,0.28,0.033
47646,56,0,0,3572,9,0,0.0,0.0
47647,97,6,1,5297,12,0,0.102,0.017
47648,26,0,1,1466,5,0,0.0,0.061
47653,27,0,0,2006,3,0,0.0,0.0
47659,94,0,0,8313,8,0,0.0,0.0
47713,221,7,2,17772,14,2,0.035,0.01
47722,11,0,0,911,2,1,0.0,0.0
47737,15,0,1,638,2,0,0.0,0.141
47740,129,2,4,11376,11,0,0.016,0.032
47768,20,0,1,1735,1,0,0.0,0.052
47769,19,1,0,896,4,0,0.1,0.0
47772,62,4,1,4855,15,0,0.074,0.019
47781,18,1,0,785,3,0,0.115,0.0
47785,57,1,2,4356,10,0,0.021,0.041
47893,195,6,7,14176,59,1,0.038,0.044
47931,75,1,2,5873,13,1,0.015,0.031
47994,5,0,0,450,3,0,0.0,0.0
47995,202,21,28,14767,31,0,0.128,0.171
48002,308,9,2,25284,35,1,0.032,0.007
48003,91,0,0,8108,4,1,0.0,0.0
48015,513,0,0,46338,19,2,0.0,0.0
48020,9,0,0,327,2,0,0.0,0.0
48052,140,49,11,8809,12,0,0.501,0.112
48064,258,0,3,23220,8,0,0.0,0.012
48066,180,35,21,10046,27,1,0.314,0.188
48067,407,164,97,29681,31,0,0.497,0.294
48078,99,20,6,4814,3,0,0.374,0.112
48081,40,1,3,3215,6,0,0.028,0.084
48119,217,46,17,12485,34,0,0.332,0.123
48164,65,1,1,3730,10,0,0.024,0.024
48206,128,1,21,10873,39,2,0.008,0.174
48226,44,2,1,3672,8,0,0.049,0.025
48259,24,1,0,1972,2,1,0.046,0.0
48262,48,10,7,3335,6,1,0.27,0.189
48280,387,232,47,27906,48,0,0.748,0.152
48294,5,0,0,382,5,0,0.0,0.0
48298,355,101,77,27219,89,0,0.334,0.255
48307,17,0,1,543,2,0,0.0,0.166
48373,2,0,0,123,1,0,0.0,0.0
48424,5,0,0,389,1,0,0.0,0.0
48477,46,3,6,3089,17,0,0.087,0.175
48486,125,18,9,6526,15,0,0.248,0.124
48491,68,0,2,4504,21,0,0.0,0.04
48495,5,0,0,299,1,0,0.0,0.0
48508,33,5,5,1668,5,0,0.27,0.27
48510,45,1,5,3282,3,1,0.027,0.137
48512,3,0,0,237,2,0,0.0,0.0
48514,163,0,1,14732,9,0,0.0,0.006
48516,1,0,0,90,0,0,0.0,0.0
48521,54,3,0,4508,14,0,0.06,0.0
48526,40,0,0,2536,7,1,0.0,0.0
48534,32,3,0,2532,8,0,0.107,0.0
48536,16,0,1,1274,2,1,0.0,0.071
48542,56,0,1,4846,5,1,0.0,0.019
48550,108,25,22,8362,17,1,0.269,0.237
48557,149,3,11,11838,22,0,0.023,0.084
48560,159,10,8,10629,53,1,0.085,0.068
48583,98,2,7,7677,10,0,0.023,0.082
48586,107,3,0,9434,38,1,0.029,0.0
48601,7,0,0,245,2,0,0.0,0.0
48619,60,4,4,3061,6,0,0.118,0.118
48634,268,4,12,21920,51,5,0.016,0.049
48678,14,1,0,545,2,0,0.165,0.0
48699,17,1,2,1126,5,0,0.08,0.16
48703,172,0,5,14244,33,1,0.0,0.032
48706,74,1,6,6407,9,1,0.014,0.084
48740,41,2,3,2624,5,0,0.069,0.103
48756,58,4,0,4481,13,0,0.08,0.0
48764,27,0,1,2067,2,0,0.0,0.044
48803,233,6,16,17463,54,0,0.031,0.082
48805,165,18,13,11939,22,1,0.136,0.098
48835,1,0,0,120,0,0,0.0,0.0
48858,29,1,0,2410,9,0,0.037,0.0
48859,368,13,8,29879,62,1,0.039,0.024
48864,188,5,20,14807,15,0,0.03,0.122
48867,147,7,19,12428,25,0,0.051,0.138
48868,39,1,1,1501,1,0,0.06,0.06
48870,327,0,3,29433,13,0,0.0,0.009
48888,108,6,10,9191,23,0,0.059,0.098
48895,11,0,0,964,0,0,0.0,0.0
48897,46,1,4,2724,2,0,0.033,0.132
48898,18,0,1,439,1,0,0.0,0.205
48907,306,28,21,25667,60,2,0.098,0.074
48930,33,4,2,2272,9,0,0.158,0.079
48931,43,3,0,3573,13,2,0.076,0.0
48950,6,0,0,208,0,0,0.0,0.0
48954,94,0,0,8460,8,0,0.0,0.0
48974,253,98,45,18280,39,3,0.482,0.222
48987,206,3,4,15620,35,1,0.017,0.023
48989,133,5,0,11389,22,1,0.04,0.0
49000,45,0,1,3403,12,1,0.0,0.026
49008,57,2,0,4440,9,0,0.041,0.0
49016,155,0,0,13891,10,0,0.0,0.0
49018,58,5,2,4936,6,0,0.091,0.036
49022,11,0,0,990,1,0,0.0,0.0
49024,30,1,0,2513,7,1,0.036,0.0
49030,140,14,10,8432,45,0,0.149,0.107
49031,4,0,0,147,1,0,0.0,0.0
49035,41,1,3,2921,5,0,0.031,0.092
49038,51,13,4,4020,9,0,0.291,0.09
49040,25,2,3,2133,5,0,0.084,0.127
49069,46,9,5,2858,4,0,0.283,0.157
49098,17,1,3,940,1,0,0.096,0.287
49101,1,0,0,17,0,0,0.0,0.0
49121,1,0,0,3,0,0,0.0,0.0
49143,27,3,3,1371,2,0,0.197,0.197
49144,29,1,1,1890,6,1,0.048,0.048
49147,73,1,1,6302,17,0,0.014,0.014
49239,121,33,13,8479,21,0,0.35,0.138
49251,91,7,2,4766,2,0,0.132,0.038
49275,273,7,10,19109,65,0,0.033,0.047
49319,36,0,0,3023,4,1,0.0,0.0
49327,77,4,4,6186,16,1,0.058,0.058
49347,33,0,0,3015,2,0,0.0,0.0
49385,1,0,0,45,0,0,0.0,0.0
49409,37,1,0,2539,10,0,0.035,0.0
49450,23,0,2,1107,0,0,0.0,0.163
49462,41,0,1,2563,5,0,0.0,0.035
49474,21,1,3,755,0,0,0.119,0.358
49485,57,2,2,4698,15,2,0.038,0.038
49488,77,7,12,4620,11,0,0.136,0.234
49499,433,80,38,32204,20,0,0.224,0.106
49500,269,6,22,23076,58,0,0.023,0.086
49501,86,7,5,5360,8,0,0.118,0.084
49521,50,0,0,2686,6,0,0.0,0.0
49542,49,10,5,2114,2,1,0.426,0.213
49551,115,22,11,7450,17,0,0.266,0.133
49552,22,3,2,866,0,0,0.312,0.208
49560,110,6,5,8633,29,1,0.063,0.052
49589,103,1,3,8729,17,2,0.01,0.031
49591,32,4,3,1588,3,0,0.227,0.17
49640,25,0,1,1940,3,1,0.0,0.046
49641,69,0,1,4473,17,0,0.0,0.02
49655,134,33,22,7979,8,0,0.372,0.248
49656,30,1,2,2615,4,0,0.034,0.069
49676,223,24,26,13827,27,1,0.156,0.169
49681,5,0,0,153,0,0,0.0,0.0
49693,104,17,12,7096,10,0,0.216,0.152
49719,77,3,3,4928,11,0,0.055,0.055
49723,246,12,20,16328,44,1,0.066,0.11
